id,uuid,observed_on_string,user_id,user_login,url,image_url,place_guess,latitude,longitude,species_guess,scientific_name,common_name,taxon_id,Invasive
211408,af94bc6e-21ce-457d-850a-d83d7e254e88,2013-03-05,13360,saelifeworks,http://www.inaturalist.org/observations/211408,https://inaturalist-open-data.s3.amazonaws.com/photos/267406/medium.JPG,"Arlington, VA",38.876839,-77.122238,lesser celandine,Ficaria verna,lesser celandine,204321,Yes
215899,051e6e87-8e88-452d-9549-7f8c9bd59a47,2013-03-13,13360,saelifeworks,http://www.inaturalist.org/observations/215899,https://inaturalist-open-data.s3.amazonaws.com/photos/272309/medium.JPG,"Arlington County, US-VA, US",38.8746740145,-77.1336847544,lesser celandine,Ficaria verna,lesser celandine,204321,Yes
219308,c13816fb-8559-4526-84b2-a89bb62a6b12,Tue Mar 19 2013 16:47:50 GMT-0400 (EDT),5892,botanygirl,http://www.inaturalist.org/observations/219308,https://inaturalist-open-data.s3.amazonaws.com/photos/276284/medium.jpg,"Lubber Run Park, Arlington, Virginia, US",38.867679,-77.119782,Lesser Celandine,Ficaria verna,lesser celandine,204321,Yes
219309,d8316661-1aed-4315-988a-71303fa30b6b,Tue Mar 19 2013 16:28:14 GMT-0400 (EDT),5892,botanygirl,http://www.inaturalist.org/observations/219309,https://inaturalist-open-data.s3.amazonaws.com/photos/276283/medium.jpg,"Lubber Run Park, Arlington, Virginia, US",38.8719988833,-77.1163439,lesser celandine,Ficaria verna,lesser celandine,204321,Yes
2739634,abc4f696-f24c-498c-bceb-a10f8495f009,2016-02-28 14:22:19,30601,calopteryx,http://www.inaturalist.org/observations/2739634,https://inaturalist-open-data.s3.amazonaws.com/photos/3093344/medium.jpg,"W & OD Trail, Arlington",38.878906,-77.138228,lesser celandine,Ficaria verna,lesser celandine,204321,Yes
2739835,a83bc439-b209-4d12-9d69-97cb30ee6e35,2016-02-27,30601,calopteryx,http://www.inaturalist.org/observations/2739835,https://inaturalist-open-data.s3.amazonaws.com/photos/3093600/medium.jpg,"Custis Trail, Arlington",38.890907,-77.10542,English Ivy,Hedera helix,common ivy,55882,Yes
2777328,ff9449a4-2b6b-4fa4-92d8-eff898898c63,2016-03-12 13:42:37,30601,calopteryx,http://www.inaturalist.org/observations/2777328,https://inaturalist-open-data.s3.amazonaws.com/photos/3146819/medium.jpg,"Arlington, Virginia, United States",38.912507,-77.110311,Garlic Mustard,Alliaria petiolata,garlic mustard,56061,Yes
2897237,5dc29ce1-5bf0-4bd9-84d2-7478e2100a27,2015-04-26 12:02:19,30601,calopteryx,http://www.inaturalist.org/observations/2897237,https://inaturalist-open-data.s3.amazonaws.com/photos/3314086/medium.jpg,"Arlington, Virginia, United States",38.876484,-77.135159,lesser celandine,Ficaria verna,lesser celandine,204321,Yes
2928957,87dccbf9-8a5d-40a6-823e-e9b97a392376,Wed Apr 13 2016 13:50:39 GMT-0400 (EDT),215194,abrackett,http://www.inaturalist.org/observations/2928957,https://inaturalist-open-data.s3.amazonaws.com/photos/3355506/medium.jpg,"George Washington Memorial Pkwy S, Arlington, VA, US",38.8704366667,-77.0415,garlic mustard,Alliaria petiolata,garlic mustard,56061,Yes
2933949,be5e1abe-c9b0-48bd-8787-9d8f7bc28f41,Thu Apr 14 2016 13:43:16 GMT-0400 (EDT),215194,abrackett,http://www.inaturalist.org/observations/2933949,https://inaturalist-open-data.s3.amazonaws.com/photos/3362435/medium.jpg,"22202, Arlington, VA, US",38.8666833333,-77.0445028333,Japanese honeysuckle,Lonicera japonica,Japanese honeysuckle,77835,Yes
